FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,MAX_FREQ,DB_THRESHOLD,FREQ_STEPS,LEFT_CHANNEL,RIGHT_CHANNEL
20210516_050000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000505,NA 
20210516_051000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000127,NA 
20210516_052000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000162,NA 
20210516_053000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000147,NA 
20210516_054000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.6e-05,NA 
20210516_055000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.9e-05,NA 
20210516_060000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000106,NA 
20210516_061000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.7e-05,NA 
20210516_062000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.8e-05,NA 
20210516_063000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.4e-05,NA 
20210516_064000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.6e-05,NA 
20210516_065000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7.7e-05,NA 
20210516_070000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.9e-05,NA 
20210516_071000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000113,NA 
20210516_072000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.2e-05,NA 
20210516_073000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000108,NA 
20210516_074000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000133,NA 
20210516_075000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,9e-05,NA 
20210516_080000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.2e-05,NA 
20210516_081000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.6e-05,NA 
20210516_082000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.2e-05,NA 
20210516_083000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7.6e-05,NA 
20210516_084000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,5.3e-05,NA 
20210516_085000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.6e-05,NA 
20210516_090000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7.2e-05,NA 
20210516_091000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4.6e-05,NA 
20210516_092000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.2e-05,NA 
20210516_093000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4.5e-05,NA 
20210516_094000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,5e-05,NA 
20210516_095000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7.2e-05,NA 
20210516_100000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4.8e-05,NA 
20210516_101000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4e-05,NA 
20210516_102000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4.3e-05,NA 
20210516_103000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,1.3e-05,NA 
20210516_104000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8e-06,NA 
20210516_105000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,1.6e-05,NA 
20210516_110000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,1e-05,NA 
20210516_111000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,2.4e-05,NA 
20210516_112000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,2e-05,NA 
20210516_113000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,2.9e-05,NA 
20210516_114000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,2.4e-05,NA 
20210516_115000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,2.1e-05,NA 
20210516_120000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4.1e-05,NA 
20210516_121000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4e-05,NA 
20210516_122000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,3.6e-05,NA 
20210516_123000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4.3e-05,NA 
20210516_124000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4.7e-05,NA 
20210516_125000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,4.6e-05,NA 
20210517_050000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000124,NA 
20210517_051000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.2e-05,NA 
20210517_052000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7.5e-05,NA 
20210517_053000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,5.9e-05,NA 
20210517_054000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8e-05,NA 
20210517_055000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,5.4e-05,NA 
20210517_060000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,1e-04,NA 
20210517_061000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000101,NA 
20210517_062000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,5.8e-05,NA 
20210517_063000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7.6e-05,NA 
20210517_064000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.3e-05,NA 
20210517_065000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,8.1e-05,NA 
20210517_070000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000128,NA 
20210517_071000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.1e-05,NA 
20210517_072000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,9.7e-05,NA 
20210517_073000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7.1e-05,NA 
20210517_074000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.6e-05,NA 
20210517_075000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,9.9e-05,NA 
20210517_080000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,0.000126,NA 
20210517_081000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7e-05,NA 
20210517_082000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,7.5e-05,NA 
20210517_083000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,5.7e-05,NA 
20210517_084000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,6.6e-05,NA 
20210517_085000.WAV,48000,16,120,1,acoustic_evenness,12000,-70,1000,5.7e-05,NA 
